jefe_hogar,sexo,edad,migracion_venezuela,firma_contrato,trabajo_venezuela,estrato,ingreso_mensual,log_ingreso_mensual,horas_mensual
1,1,30.0,1,2.0,1.0,2,1500.0,7.313220387090301,320.0
1,1,23.0,1,2.0,1.0,2,900.0,6.802394763324311,240.0
1,1,45.0,1,1.0,1.0,3,1500.0,7.313220387090301,308.0
4,1,26.0,1,2.0,2.0,2,960.0,6.866933284461882,208.0
2,1,23.0,1,2.0,1.0,3,1200.0,7.090076835776092,192.0
1,1,31.0,1,2.0,1.0,4,560.0,6.327936783729195,200.0
1,2,38.0,1,2.0,2.0,4,1600.0,7.3777589082278725,288.0
1,1,39.0,1,1.0,1.0,1,2150.0,7.673223121121708,120.0
5,1,16.0,1,2.0,1.0,3,1050.0,6.956545443151569,252.0
7,2,35.0,1,2.0,1.0,1,1000.0,6.907755278982137,208.0
1,1,28.0,1,2.0,1.0,3,1200.0,7.090076835776092,360.0
2,2,25.0,1,2.0,1.0,4,750.0,6.620073206530356,240.0
1,2,44.0,1,2.0,2.0,4,1096.0,6.999422467507961,244.0
1,1,40.0,1,2.0,1.0,2,1200.0,7.090076835776092,288.0
1,2,41.0,1,2.0,1.0,2,400.0,5.991464547107982,224.0
1,2,59.0,1,2.0,1.0,3,900.0,6.802394763324311,48.0
3,2,23.0,1,2.0,1.0,3,1002.0,6.90975328164481,216.0
2,2,36.0,1,2.0,1.0,2,900.0,6.802394763324311,192.0
1,1,44.0,1,2.0,1.0,4,2000.0,7.600902459542082,280.0
3,1,25.0,1,2.0,1.0,4,1000.0,6.907755278982137,184.0
1,1,31.0,1,2.0,1.0,3,1300.0,7.170119543449628,288.0
1,1,34.0,1,2.0,1.0,4,2600.0,7.8632667240095735,220.0
1,1,41.0,1,2.0,1.0,3,1120.0,7.02108396428914,280.0
11,1,22.0,1,2.0,2.0,4,1600.0,7.3777589082278725,240.0
1,1,26.0,1,2.0,1.0,4,960.0,6.866933284461882,240.0
8,1,21.0,1,2.0,2.0,4,1800.0,7.495541943884256,240.0
1,1,23.0,1,2.0,1.0,3,560.0,6.327936783729195,240.0
2,2,24.0,1,2.0,1.0,1,930.0,6.835184586147301,240.0
3,2,35.0,1,1.0,1.0,3,1200.0,7.090076835776092,200.0
2,2,28.0,1,2.0,2.0,3,750.0,6.620073206530356,264.0
1,2,43.0,1,2.0,1.0,4,1500.0,7.313220387090301,32.0
1,2,41.0,1,1.0,1.0,2,965.0,6.872128101338986,208.0
1,2,25.0,1,2.0,1.0,1,960.0,6.866933284461882,200.0
1,1,27.0,1,2.0,1.0,2,1500.0,7.313220387090301,236.0
1,1,35.0,1,2.0,1.0,4,1000.0,6.907755278982137,192.0
2,2,45.0,1,2.0,1.0,1,600.0,6.396929655216146,240.0
11,2,32.0,1,2.0,1.0,2,1500.0,7.313220387090301,84.0
1,1,24.0,1,2.0,2.0,2,1350.0,7.2078598714324755,216.0
1,1,44.0,1,2.0,1.0,4,1500.0,7.313220387090301,160.0
7,2,22.0,1,2.0,1.0,3,1050.0,6.956545443151569,288.0
1,1,39.0,1,2.0,1.0,5,1120.0,7.02108396428914,240.0
8,1,25.0,1,2.0,1.0,3,1920.0,7.560080465021827,232.0
2,1,35.0,1,1.0,1.0,4,2240.0,7.7142311448490855,204.0
3,1,22.0,1,2.0,2.0,3,1440.0,7.272398392570047,240.0
8,1,25.0,1,2.0,1.0,2,1000.0,6.907755278982137,400.0
3,1,18.0,1,2.0,1.0,2,1200.0,7.090076835776092,216.0
1,1,36.0,1,2.0,1.0,1,1200.0,7.090076835776092,284.0
2,2,34.0,1,2.0,1.0,3,1200.0,7.090076835776092,192.0
7,1,29.0,1,2.0,1.0,1,1000.0,6.907755278982137,280.0
2,2,20.0,1,2.0,2.0,4,640.0,6.461468176353717,112.0
1,1,26.0,1,2.0,1.0,2,2400.0,7.783224016336037,240.0
4,1,34.0,1,2.0,2.0,3,960.0,6.866933284461882,288.0
7,1,46.0,1,2.0,2.0,4,1680.0,7.426549072397305,184.0
2,1,24.0,1,1.0,1.0,5,840.0,6.733401891837359,192.0
1,1,36.0,1,1.0,1.0,5,1600.0,7.3777589082278725,364.0
1,2,45.0,1,2.0,1.0,4,900.0,6.802394763324311,96.0
2,2,33.0,1,2.0,1.0,3,720.0,6.579251212010101,176.0
1,2,20.0,1,2.0,2.0,4,1200.0,7.090076835776092,264.0
1,1,31.0,1,2.0,1.0,4,2560.0,7.847762537473608,284.0
8,1,54.0,1,2.0,1.0,2,2160.0,7.67786350067821,320.0
4,2,23.0,1,2.0,2.0,4,800.0,6.684611727667927,144.0
11,2,33.0,1,1.0,1.0,4,1000.0,6.907755278982137,360.0
1,2,50.0,1,2.0,1.0,3,1500.0,7.313220387090301,160.0
1,2,23.0,1,2.0,1.0,4,1080.0,6.984716320118266,264.0
11,2,24.0,1,2.0,2.0,3,1120.0,7.02108396428914,200.0
3,2,18.0,1,2.0,2.0,3,1000.0,6.907755278982137,288.0
1,2,29.0,1,2.0,1.0,3,900.0,6.802394763324311,224.0
1,1,39.0,1,2.0,1.0,3,880.0,6.779921907472252,240.0
1,1,37.0,1,2.0,1.0,2,1200.0,7.090076835776092,240.0
3,1,18.0,1,2.0,2.0,2,700.0,6.551080335043404,240.0
3,2,16.0,1,2.0,2.0,2,900.0,6.802394763324311,216.0
1,2,27.0,1,2.0,1.0,2,480.0,6.173786103901937,96.0
1,1,28.0,1,2.0,1.0,4,1200.0,7.090076835776092,264.0
1,2,39.0,1,2.0,1.0,3,860.0,6.756932389247553,120.0
2,2,49.0,1,2.0,1.0,3,926.0,6.8308742346461795,264.0
2,2,24.0,1,2.0,2.0,2,1200.0,7.090076835776092,400.0
3,1,17.0,1,2.0,2.0,3,1000.0,6.907755278982137,188.0
3,1,24.0,1,2.0,2.0,2,813.0,6.70073110954781,240.0
1,1,25.0,1,2.0,1.0,3,1400.0,7.24422751560335,260.0
1,2,41.0,1,2.0,2.0,3,2000.0,7.600902459542082,168.0
1,1,18.0,1,2.0,2.0,3,900.0,6.802394763324311,196.0
1,2,29.0,1,2.0,1.0,3,1200.0,7.090076835776092,136.0
2,1,20.0,1,2.0,1.0,2,900.0,6.802394763324311,288.0
11,2,45.0,1,2.0,1.0,2,600.0,6.396929655216146,48.0
2,1,34.0,1,2.0,1.0,2,720.0,6.579251212010101,312.0
3,1,27.0,1,2.0,1.0,2,720.0,6.579251212010101,300.0
8,2,28.0,1,2.0,1.0,2,800.0,6.684611727667927,192.0
2,1,34.0,1,2.0,1.0,3,1500.0,7.313220387090301,288.0
1,2,43.0,1,2.0,1.0,2,624.0,6.436150368369428,192.0
8,1,41.0,1,2.0,1.0,2,600.0,6.396929655216146,168.0
2,1,46.0,1,2.0,1.0,2,640.0,6.461468176353717,280.0
3,1,18.0,1,2.0,1.0,2,800.0,6.684611727667927,240.0
8,1,35.0,1,2.0,1.0,2,1200.0,7.090076835776092,360.0
8,2,24.0,1,2.0,1.0,2,960.0,6.866933284461882,336.0
8,2,42.0,1,1.0,1.0,2,1700.0,7.438383530044307,200.0
3,2,23.0,1,2.0,1.0,4,1800.0,7.495541943884256,192.0
8,1,26.0,1,2.0,1.0,4,1320.0,7.1853870155804165,264.0
1,1,38.0,1,2.0,1.0,2,1300.0,7.170119543449628,184.0
1,2,46.0,1,2.0,1.0,3,720.0,6.579251212010101,264.0
1,1,38.0,1,2.0,1.0,3,2100.0,7.649692623711514,100.0
